,ticker,SIC,Four Digit SIC Codes,Four Digit SIC Code Descriptions,SIC Two Digit,Two Digit SIC Codes,Two Digit SIC Code Descriptions
34,FFC,6733,6733.0,"TRUSTS, NEC",67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
35,MTN,7999,7999.0,"AMUSEMENT AND RECREATION, NEC",79,79.0,AMUSEMENT AND RECREATION SERVICES
36,CGA,2879,2879.0,"AGRICULTURAL CHEMICALS, NEC",28,28.0,CHEMICALS AND ALLIED PRODUCTS
37,SNDR,4213,4213.0,"TRUCKING, EXCEPT LOCAL",42,42.0,MOTOR FREIGHT TRANSPORTATION
38,BORR,0,,,0,,
39,DAX,0,,,0,,
40,RGT,6733,6733.0,"TRUSTS, NEC",67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
41,XCCC,0,,,0,,
42,NCLH,4499,4499.0,"WATER TRANSPORTATION SERVICES, NEC",44,44.0,WATER TRANSPORTATION
43,AAU,0,,,0,,
44,EWO,0,,,0,,
45,TRI,7499,,,74,,
46,VOT,0,,,0,,
47,PBA,4612,4612.0,CRUDE PETROLEUM PIPELINES,46,46.0,"PIPELINES, EXCEPT NATURAL GAS"
48,SGHC,0,,,0,,
49,NSL,6733,6733.0,"TRUSTS, NEC",67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
50,CRNT,0,,,0,,
51,PFIX,0,,,0,,
52,PSNL,0,,,0,,
53,NGD,0,,,0,,
54,MSDA,0,,,0,,
55,MCK,5122,5122.0,"DRUGS, PROPRIETARIES, AND SUNDRIES",51,51.0,WHOLESALE TRADE - NONDURABLE GOODS
56,NVG,6282,6282.0,INVESTMENT ADVICE,62,62.0,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES"
57,BULZ,0,,,0,,
58,SEALpB,0,,,0,,
59,KROS,0,,,0,,
60,PED,1321,1321.0,NATURAL GAS LIQUIDS,13,13.0,OIL AND GAS EXTRACTION
61,SGOV,0,,,0,,
62,AHCO,0,,,0,,
63,RWT,6798,6798.0,REAL ESTATE INVESTMENT TRUSTS,67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
64,MLGO,0,,,0,,
65,CLH,9511,9511.0,"AIR, WATER, AND SOLID WASTE MANAGEMENT",95,95.0,ADMINISTRATION OF ENVIRONMENTAL QUALITY AND HOUSING PROGRAMS
66,GDXD,0,,,0,,
67,AOMR,0,,,0,,
68,CRDF,0,,,0,,
69,PSApS,0,,,0,,
70,PMX,6733,6733.0,"TRUSTS, NEC",67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
71,OLPX,0,,,0,,
72,PNOV,0,,,0,,
73,ETJ,6726,6726.0,"INVESTMENT OFFICES, NEC",67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
74,NMZ,6799,6799.0,"INVESTORS, NEC",67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
75,EWG,0,,,0,,
76,MVSTW,0,,,0,,
77,RVNC,2834,2834.0,PHARMACEUTICAL PREPARATIONS,28,28.0,CHEMICALS AND ALLIED PRODUCTS
78,DAPP,0,,,0,,
79,INFN,3661,3661.0,TELEPHONE AND TELEGRAPH APPARATUS,36,36.0,"ELECTRONIC, ELCTRCL EQPMNT & CMPNTS, EXCPT COMPUTER EQPMNT"
80,RICK,5812,5812.0,EATING PLACES,58,58.0,EATING AND DRINKING PLACES
81,BKAG,0,,,0,,
82,IETC,0,,,0,,
83,VFC,2329,2329.0,"MEN'S AND BOY'S CLOTHING, NEC",23,23.0,"APPAREL, FINISHED PRDCTS FROM FABRICS & SIMILAR MATERIALS"
84,ACST,3741,,,37,37.0,TRANSPORTATION EQUIPMENT
85,HRTG,6331,6331.0,"FIRE, MARINE, AND CASUALTY INSURANCE",63,63.0,INSURANCE CARRIERS
86,RLI,6331,6331.0,"FIRE, MARINE, AND CASUALTY INSURANCE",63,63.0,INSURANCE CARRIERS
87,CEW,0,,,0,,
88,BFLY.WS,0,,,0,,
89,POWW,0,,,0,,
90,AMCIU,0,,,0,,
91,TTSH,0,,,0,,
92,BIZD,0,,,0,,
93,APPF,7379,7379.0,"COMPUTER RELATED SERVICES, NEC",73,73.0,BUSINESS SERVICES
94,DRIP,0,,,0,,
95,GNLN,0,,,0,,
96,ASTI,3674,3674.0,SEMICONDUCTORS AND RELATED DEVICES,36,36.0,"ELECTRONIC, ELCTRCL EQPMNT & CMPNTS, EXCPT COMPUTER EQPMNT"
97,SGML,0,,,0,,
98,ANGHW,0,,,0,,
99,MDRR,0,,,0,,
100,CNYA,0,,,0,,
101,CRVL,6411,6411.0,"INSURANCE AGENTS, BROKERS, AND SERVICE",64,64.0,"INSURANCE AGENTS, BROKERS AND SERVICE"
102,SCHO,0,,,0,,
103,IBDQ,0,,,0,,
104,PHUN,0,,,0,,
105,ESTE,1311,1311.0,CRUDE PETROLEUM AND NATURAL GAS,13,13.0,OIL AND GAS EXTRACTION
106,PEAK,0,,,0,,
107,BCH,6029,6029.0,"COMMERCIAL BANKS, NEC",60,60.0,DEPOSITORY INSTITUTIONS
108,AOK,0,,,0,,
109,EPHYU,0,,,0,,
110,CIDM,7812,7812.0,MOTION PICTURE AND VIDEO PRODUCTION,78,78.0,MOTION PICTURES
111,GRNT,0,,,0,,
112,SDIG,0,,,0,,
113,TIP,0,,,0,,
114,FALN,0,,,0,,
115,SOJE,0,,,0,,
116,AGNG,0,,,0,,
117,NABL,0,,,0,,
118,KZR,0,,,0,,
119,RCL,4489,4489.0,WATER PASSENGER TRANSPORTATION,44,44.0,WATER TRANSPORTATION
120,URBN,5651,5651.0,FAMILY CLOTHING STORES,56,56.0,APPAREL AND ACCESSORY STORES
121,TRUP,6324,6324.0,HOSPITAL AND MEDICAL SERVICE PLANS,63,63.0,INSURANCE CARRIERS
122,WASH,6022,6022.0,STATE COMMERCIAL BANKS,60,60.0,DEPOSITORY INSTITUTIONS
123,AZEK,0,,,0,,
124,PSTV,0,,,0,,
125,NIpB,0,,,0,,
126,MHN,6726,6726.0,"INVESTMENT OFFICES, NEC",67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
127,ORCC,0,,,0,,
128,BGFV,5941,5941.0,SPORTING GOODS AND BICYCLE SHOPS,59,59.0,MISCELLANEOUS RETAIL
129,BEN,6282,6282.0,INVESTMENT ADVICE,62,62.0,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES"
130,PATH,0,,,0,,
131,ENFR,0,,,0,,
132,RCUS,0,,,0,,
133,WTT,3669,3669.0,"COMMUNICATIONS EQUIPMENT, NEC",36,36.0,"ELECTRONIC, ELCTRCL EQPMNT & CMPNTS, EXCPT COMPUTER EQPMNT"
134,TBI,7363,7363.0,HELP SUPPLY SERVICES,73,73.0,BUSINESS SERVICES
135,OMCL,8099,8099.0,"HEALTH AND ALLIED SERVICES, NEC",80,80.0,HEALTH SERVICES
136,STEW,0,,,0,,
137,VC,3714,3714.0,MOTOR VEHICLE PARTS AND ACCESSORIES,37,37.0,TRANSPORTATION EQUIPMENT
138,IMCV,0,,,0,,
139,GRNT.WS,0,,,0,,
140,FGD,0,,,0,,
141,ATCO,0,,,0,,
142,BHFAL,0,,,0,,
143,FLEX,0,,,0,,
144,BACpE,0,,,0,,
145,THCX,0,,,0,,
146,RAYA,0,,,0,,
147,CEG,0,,,0,,
148,SNV,6021,6021.0,NATIONAL COMMERCIAL BANKS,60,60.0,DEPOSITORY INSTITUTIONS
149,SIG,5944,5944.0,JEWELRY STORES,59,59.0,MISCELLANEOUS RETAIL
150,JRO,6282,6282.0,INVESTMENT ADVICE,62,62.0,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES"
151,PET,0,,,0,,
152,PDBC,0,,,0,,
153,CHUY,5812,5812.0,EATING PLACES,58,58.0,EATING AND DRINKING PLACES
154,DTC,0,,,0,,
155,MVIS,3679,3679.0,"ELECTRONIC COMPONENTS, NEC",36,36.0,"ELECTRONIC, ELCTRCL EQPMNT & CMPNTS, EXCPT COMPUTER EQPMNT"
156,HYLD,0,,,0,,
157,APAM,6282,6282.0,INVESTMENT ADVICE,62,62.0,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES"
158,PRAX,0,,,0,,
159,FTDS,0,,,0,,
160,MVT,6733,6733.0,"TRUSTS, NEC",67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
161,FRC,6029,6029.0,"COMMERCIAL BANKS, NEC",60,60.0,DEPOSITORY INSTITUTIONS
162,AMKR,3674,3674.0,SEMICONDUCTORS AND RELATED DEVICES,36,36.0,"ELECTRONIC, ELCTRCL EQPMNT & CMPNTS, EXCPT COMPUTER EQPMNT"
163,STRV,0,,,0,,
164,INT,5172,5172.0,"PETROLEUM PRODUCTS, NEC",51,51.0,WHOLESALE TRADE - NONDURABLE GOODS
165,CLPT,0,,,0,,
166,MYOV,0,,,0,,
167,DXC,7379,7379.0,"COMPUTER RELATED SERVICES, NEC",73,73.0,BUSINESS SERVICES
168,PRA,6331,6331.0,"FIRE, MARINE, AND CASUALTY INSURANCE",63,63.0,INSURANCE CARRIERS
169,AMAL,0,,,0,,
170,XPER,3674,3674.0,SEMICONDUCTORS AND RELATED DEVICES,36,36.0,"ELECTRONIC, ELCTRCL EQPMNT & CMPNTS, EXCPT COMPUTER EQPMNT"
171,MMAT,0,,,0,,
172,SLX,0,,,0,,
173,EQRXW,0,,,0,,
174,MTTR,0,,,0,,
175,RENT,7389,7389.0,"BUSINESS SERVICES, NEC",73,73.0,BUSINESS SERVICES
176,APDN,7382,7382.0,SECURITY SYSTEMS SERVICES,73,73.0,BUSINESS SERVICES
177,AURA,0,,,0,,
178,METpA,0,,,0,,
179,CPLP,4412,4412.0,DEEP SEA FOREIGN TRANSPORTATION OF FREIGHT,44,44.0,WATER TRANSPORTATION
180,BVS,0,,,0,,
181,MIY,6726,6726.0,"INVESTMENT OFFICES, NEC",67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
182,SLCA,1499,1499.0,MISCELLANEOUS NONMETALLIC MINING,14,14.0,"MINING AND QUARRYING OF NONMETALLIC MINERALS, EXCEPT FUELS"
183,AB,6282,6282.0,INVESTMENT ADVICE,62,62.0,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES"
184,EQHpA,0,,,0,,
185,OLMA,0,,,0,,
186,MRTX,2834,2834.0,PHARMACEUTICAL PREPARATIONS,28,28.0,CHEMICALS AND ALLIED PRODUCTS
187,AEI,0,,,0,,
188,UNVR,5169,5169.0,"CHEMICALS AND ALLIED PRODUCTS, NEC",51,51.0,WHOLESALE TRADE - NONDURABLE GOODS
189,WPP,7311,7311.0,ADVERTISING AGENCIES,73,73.0,BUSINESS SERVICES
190,PFO,6726,6726.0,"INVESTMENT OFFICES, NEC",67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
191,SSU,0,,,0,,
192,TOPS,4412,4412.0,DEEP SEA FOREIGN TRANSPORTATION OF FREIGHT,44,44.0,WATER TRANSPORTATION
193,NHI,6798,6798.0,REAL ESTATE INVESTMENT TRUSTS,67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
194,FRONU,0,,,0,,
195,MTRN,3463,3463.0,NONFERROUS FORGINGS,34,34.0,"FABRICATED METAL PRDCTS, EXCEPT MACHINERY & TRANSPORT EQPMNT"
196,VTVT,2834,2834.0,PHARMACEUTICAL PREPARATIONS,28,28.0,CHEMICALS AND ALLIED PRODUCTS
197,KITT,0,,,0,,
198,SWAG,0,,,0,,
199,PEGA,7374,7374.0,DATA PROCESSING AND PREPARATION,73,73.0,BUSINESS SERVICES
200,CMRX,2834,2834.0,PHARMACEUTICAL PREPARATIONS,28,28.0,CHEMICALS AND ALLIED PRODUCTS
201,XRAY,3843,3843.0,DENTAL EQUIPMENT AND SUPPLIES,38,38.0,MESR/ANLYZ/CNTRL INSTRMNTS; PHOTO/MED/OPT GDS; WATCHS/CLOCKS
202,CSCO,3577,3577.0,"COMPUTER PERIPHERAL EQUIPMENT, NEC",35,35.0,INDUSTRIAL AND COMMERCIAL MACHINERY AND COMPUTER EQUIPMENT
203,CHX,0,,,0,,
204,STRO,0,,,0,,
205,NBTB,6021,6021.0,NATIONAL COMMERCIAL BANKS,60,60.0,DEPOSITORY INSTITUTIONS
206,BCOV,7374,7374.0,DATA PROCESSING AND PREPARATION,73,73.0,BUSINESS SERVICES
207,BGH,6282,6282.0,INVESTMENT ADVICE,62,62.0,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES"
208,CLDL,0,,,0,,
209,KPLT,0,,,0,,
210,WPS,0,,,0,,
211,GGR,0,,,0,,
212,CCSI,0,,,0,,
213,AXON,2834,2834.0,PHARMACEUTICAL PREPARATIONS,28,28.0,CHEMICALS AND ALLIED PRODUCTS
214,PGY,0,,,0,,
215,AAWW,4522,4522.0,"AIR TRANSPORTATION, NONSCHEDULED",45,45.0,TRANSPORTATION BY AIR
216,ASTR,0,,,0,,
217,QNCX,0,,,0,,
218,TALS,0,,,0,,
219,STCN,0,,,0,,
220,BOXL,3669,3669.0,"COMMUNICATIONS EQUIPMENT, NEC",36,36.0,"ELECTRONIC, ELCTRCL EQPMNT & CMPNTS, EXCPT COMPUTER EQPMNT"
221,BHF,6311,6311.0,LIFE INSURANCE,63,63.0,INSURANCE CARRIERS
222,TCMD,3841,3841.0,SURGICAL AND MEDICAL INSTRUMENTS,38,38.0,MESR/ANLYZ/CNTRL INSTRMNTS; PHOTO/MED/OPT GDS; WATCHS/CLOCKS
223,TSLQ,0,,,0,,
224,SENEA,5182,5182.0,WINE AND DISTILLED BEVERAGES,51,51.0,WHOLESALE TRADE - NONDURABLE GOODS
225,HALO,2836,2836.0,"BIOLOGICAL PRODUCTS, EXCEPT DIAGNOSTIC",28,28.0,CHEMICALS AND ALLIED PRODUCTS
226,SIGA,0,,,0,,
227,SBLK,4412,4412.0,DEEP SEA FOREIGN TRANSPORTATION OF FREIGHT,44,44.0,WATER TRANSPORTATION
228,ENG,8711,8711.0,ENGINEERING SERVICES,87,87.0,"ENGINEERING, ACCOUNTING, RESEARCH, MANAGEMENT & RELATED SVCS"
229,IPWR,3679,3679.0,"ELECTRONIC COMPONENTS, NEC",36,36.0,"ELECTRONIC, ELCTRCL EQPMNT & CMPNTS, EXCPT COMPUTER EQPMNT"
230,SOXX,0,,,0,,
231,GLDD,1629,1629.0,"HEAVY CONSTRUCTION, NEC",16,16.0,"HEAVY CNSTRCTN, EXCEPT BUILDING CONSTRUCTION - CONTRACTORS"
232,ATIF,0,,,0,,
233,BRQS,6719,6719.0,"HOLDING COMPANIES, NEC",67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
234,RUBY,0,,,0,,
235,UBX,0,,,0,,
236,SPFF,0,,,0,,
237,LITM,0,,,0,,
238,OPRA,0,,,0,,
239,BSCR,0,,,0,,
240,ENTG,3674,3674.0,SEMICONDUCTORS AND RELATED DEVICES,36,36.0,"ELECTRONIC, ELCTRCL EQPMNT & CMPNTS, EXCPT COMPUTER EQPMNT"
241,FELE,3621,3621.0,MOTORS AND GENERATORS,36,36.0,"ELECTRONIC, ELCTRCL EQPMNT & CMPNTS, EXCPT COMPUTER EQPMNT"
242,SKYT,0,,,0,,
243,SMFR,0,,,0,,
244,ASLN,0,,,0,,
245,TILE,2273,2273.0,CARPETS AND RUGS,22,22.0,TEXTILE MILL PRODUCTS
246,MNMD,0,,,0,,
247,ATVI,7372,7372.0,PREPACKAGED SOFTWARE,73,73.0,BUSINESS SERVICES
248,DPST,0,,,0,,
249,CLBK,0,,,0,,
250,CIVB,6022,6022.0,STATE COMMERCIAL BANKS,60,60.0,DEPOSITORY INSTITUTIONS
251,GBBKR,0,,,0,,
252,LASR,0,,,0,,
253,STTK,0,,,0,,
254,EVO,6799,6799.0,"INVESTORS, NEC",67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
255,ISEE,0,,,0,,
256,ATXG,0,,,0,,
257,GLTO,0,,,0,,
258,CASS,7389,7389.0,"BUSINESS SERVICES, NEC",73,73.0,BUSINESS SERVICES
259,CDNS,7372,7372.0,PREPACKAGED SOFTWARE,73,73.0,BUSINESS SERVICES
260,SLM,6141,6141.0,PERSONAL CREDIT INSTITUTIONS,61,61.0,NONDEPOSITORY CREDIT INSTITUTIONS
261,RNDV,0,,,0,,
262,PULM,2834,2834.0,PHARMACEUTICAL PREPARATIONS,28,28.0,CHEMICALS AND ALLIED PRODUCTS
263,CSGS,7374,7374.0,DATA PROCESSING AND PREPARATION,73,73.0,BUSINESS SERVICES
264,RMNI,7371,7371.0,CUSTOM COMPUTER PROGRAMMING SERVICES,73,73.0,BUSINESS SERVICES
265,BCPC,2833,2833.0,MEDICINALS AND BOTANICALS,28,28.0,CHEMICALS AND ALLIED PRODUCTS
266,XHB,0,,,0,,
267,CNXC,0,,,0,,
268,AVUS,0,,,0,,
269,CAPR,2836,2836.0,"BIOLOGICAL PRODUCTS, EXCEPT DIAGNOSTIC",28,28.0,CHEMICALS AND ALLIED PRODUCTS
270,JAGX,2834,2834.0,PHARMACEUTICAL PREPARATIONS,28,28.0,CHEMICALS AND ALLIED PRODUCTS
271,CMPR,0,,,0,,
272,SGHT,0,,,0,,
273,VSAT,3663,3663.0,RADIO AND T.V. COMMUNICATIONS EQUIPMENT,36,36.0,"ELECTRONIC, ELCTRCL EQPMNT & CMPNTS, EXCPT COMPUTER EQPMNT"
274,UITB,0,,,0,,
275,TWNK,2051,2051.0,"BREAD, CAKE, AND RELATED PRODUCTS",20,20.0,FOOD AND KINDRED PRODUCTS
276,HTZ,7513,7513.0,"TRUCK RENTAL AND LEASING, WITHOUT DRIVERS",75,75.0,"AUTOMOTIVE REPAIR, SERVICES AND PARKING"
277,GALT,2834,2834.0,PHARMACEUTICAL PREPARATIONS,28,28.0,CHEMICALS AND ALLIED PRODUCTS
278,D,4931,4931.0,ELECTRIC AND OTHER SERVICES COMBINED,49,49.0,"ELECTRIC, GAS AND SANITARY SERVICES"
279,DATS,0,,,0,,
280,CBNK,6036,6036.0,"SAVINGS INSTITUTIONS, EXCEPT FEDERAL",60,60.0,DEPOSITORY INSTITUTIONS
281,NBSE,0,,,0,,
282,SM,1311,1311.0,CRUDE PETROLEUM AND NATURAL GAS,13,13.0,OIL AND GAS EXTRACTION
283,IRWD,2834,2834.0,PHARMACEUTICAL PREPARATIONS,28,28.0,CHEMICALS AND ALLIED PRODUCTS
284,AERC,0,,,0,,
285,GLG,0,,,0,,
286,GEF.B,0,,,0,,
287,PLL,3569,3569.0,"GENERAL INDUSTRIAL MACHINERY,",35,35.0,INDUSTRIAL AND COMMERCIAL MACHINERY AND COMPUTER EQUIPMENT
288,VEU,0,,,0,,
289,GBIL,0,,,0,,
290,SSL,0,,,0,,
291,AQNB,0,,,0,,
292,EML,7382,7382.0,SECURITY SYSTEMS SERVICES,73,73.0,BUSINESS SERVICES
293,GFI,0,,,0,,
294,APTO,3741,,,37,37.0,TRANSPORTATION EQUIPMENT
295,WNW,0,,,0,,
296,SPTI,0,,,0,,
297,ES,4911,4911.0,ELECTRIC SERVICES,49,49.0,"ELECTRIC, GAS AND SANITARY SERVICES"
298,TRV,6331,6331.0,"FIRE, MARINE, AND CASUALTY INSURANCE",63,63.0,INSURANCE CARRIERS
299,GLPI,6798,6798.0,REAL ESTATE INVESTMENT TRUSTS,67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
300,QQEW,0,,,0,,
301,CHSCM,5159,5159.0,"FARM-PRODUCT RAW MATERIALS, NEC",51,51.0,WHOLESALE TRADE - NONDURABLE GOODS
302,BCOR,6282,6282.0,INVESTMENT ADVICE,62,62.0,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES"
303,KOF,0,,,0,,
304,XJH,0,,,0,,
305,VRSK,7389,7389.0,"BUSINESS SERVICES, NEC",73,73.0,BUSINESS SERVICES
306,BEAT,8093,8093.0,"SPECIALTY OUTPATIENT CLINICS, NEC",80,80.0,HEALTH SERVICES
307,EBIZ,0,,,0,,
308,BTTX,0,,,0,,
309,PSPC,0,,,0,,
310,VVOS,0,,,0,,
311,BTCS,0,,,0,,
312,OCFT,0,,,0,,
313,BIDU,0,,,0,,
314,MACK,2834,2834.0,PHARMACEUTICAL PREPARATIONS,28,28.0,CHEMICALS AND ALLIED PRODUCTS
315,ICHR,0,,,0,,
316,PLUG,3629,3629.0,ELECTRICAL INDUSTRIAL APPARATUS,36,36.0,"ELECTRONIC, ELCTRCL EQPMNT & CMPNTS, EXCPT COMPUTER EQPMNT"
317,MSB,6794,6794.0,PATENT OWNERS AND LESSORS,67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
318,OPA,0,,,0,,
319,ERO,0,,,0,,
320,ECVT,0,,,0,,
321,BBD,0,,,0,,
322,QNST,7389,7389.0,"BUSINESS SERVICES, NEC",73,73.0,BUSINESS SERVICES
323,AGMpG,0,,,0,,
324,TPB,2131,2131.0,CHEWING AND SMOKING TOBACCO,21,21.0,TOBACCO PRODUCTS
325,WISA,0,,,0,,
326,NYMT,6798,6798.0,REAL ESTATE INVESTMENT TRUSTS,67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
327,SOPH,0,,,0,,
328,VTWG,0,,,0,,
329,DLN,0,,,0,,
330,TBIO,0,,,0,,
331,REGN,2834,2834.0,PHARMACEUTICAL PREPARATIONS,28,28.0,CHEMICALS AND ALLIED PRODUCTS
332,PRPL,0,,,0,,
333,BND,0,,,0,,
334,DUOL,0,,,0,,
335,WFHY,0,,,0,,
336,LVHD,0,,,0,,
337,FLRN,0,,,0,,
338,HPCO,0,,,0,,
339,WU,7389,7389.0,"BUSINESS SERVICES, NEC",73,73.0,BUSINESS SERVICES
340,SIBN,0,,,0,,
341,NGS,3533,3533.0,OIL AND GAS FIELD MACHINERY,35,35.0,INDUSTRIAL AND COMMERCIAL MACHINERY AND COMPUTER EQUIPMENT
342,LEG,2515,2515.0,MATTRESSES AND BEDSPRINGS,25,25.0,FURNITURE AND FIXTURES
343,FBND,0,,,0,,
344,MRVL,3674,3674.0,SEMICONDUCTORS AND RELATED DEVICES,36,36.0,"ELECTRONIC, ELCTRCL EQPMNT & CMPNTS, EXCPT COMPUTER EQPMNT"
345,SASI,0,,,0,,
346,NAVI,6141,6141.0,PERSONAL CREDIT INSTITUTIONS,61,61.0,NONDEPOSITORY CREDIT INSTITUTIONS
347,RUTH,5812,5812.0,EATING PLACES,58,58.0,EATING AND DRINKING PLACES
348,HEPA,0,,,0,,
349,UMH,6798,6798.0,REAL ESTATE INVESTMENT TRUSTS,67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
350,RDHL,0,,,0,,
351,ISPOW,0,,,0,,
352,ENLC,4922,4922.0,NATURAL GAS TRANSMISSION,49,49.0,"ELECTRIC, GAS AND SANITARY SERVICES"
353,HHGC,0,,,0,,
354,BAM,7299,7299.0,MISCELLANEOUS PERSONAL SERVICES,72,72.0,PERSONAL SERVICES
355,EMXF,0,,,0,,
356,SLVRW,0,,,0,,
357,VLDR,0,,,0,,
358,INAB,0,,,0,,
359,DLTH,5399,5399.0,MISCELLANEOUS GENERAL MERCHANDISE,53,53.0,GENERAL MERCHANDISE STORES
360,KOPN,3674,3674.0,SEMICONDUCTORS AND RELATED DEVICES,36,36.0,"ELECTRONIC, ELCTRCL EQPMNT & CMPNTS, EXCPT COMPUTER EQPMNT"
361,KBA,0,,,0,,
362,HIPO,0,,,0,,
363,JAMF,0,,,0,,
364,NMRK,6531,6531.0,REAL ESTATE AGENTS AND MANAGERS,65,65.0,REAL ESTATE
365,CNTY,7011,7011.0,HOTELS AND MOTELS,70,70.0,"HOTELS, ROOMING HOUSES, CAMPS, AND OTHER LODGING PLACES"
366,MOXC,8999,8999.0,"SERVICES, NEC",89,89.0,"SERVICES, NOT ELSEWHERE CLASSIFIED"
367,FNWB,6036,6036.0,"SAVINGS INSTITUTIONS, EXCEPT FEDERAL",60,60.0,DEPOSITORY INSTITUTIONS
368,VIXM,0,,,0,,
369,PFFD,0,,,0,,
370,CPUH,0,,,0,,
371,SPHY,0,,,0,,
372,ACVA,0,,,0,,
373,AIMC,3568,3568.0,"POWER TRANSMISSION EQUIPMENT, NEC",35,35.0,INDUSTRIAL AND COMMERCIAL MACHINERY AND COMPUTER EQUIPMENT
374,FCEL,4911,4911.0,ELECTRIC SERVICES,49,49.0,"ELECTRIC, GAS AND SANITARY SERVICES"
375,THRD,0,,,0,,
376,HQI,0,,,0,,
377,GIII,2389,2389.0,"APPAREL AND ACCESSORIES, NEC",23,23.0,"APPAREL, FINISHED PRDCTS FROM FABRICS & SIMILAR MATERIALS"
378,BKCC,6282,6282.0,INVESTMENT ADVICE,62,62.0,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES"
379,USL,0,,,0,,
380,IBEX,0,,,0,,
381,BBSA,0,,,0,,
382,ALT,2834,2834.0,PHARMACEUTICAL PREPARATIONS,28,28.0,CHEMICALS AND ALLIED PRODUCTS
